date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:01	95/95	---M--	200	added ('OK')	image/gif	etag:%225e1b847f4edd01:2d56%22	http://www.gkf.kr/images/sub/tit_arrow.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/tit_arrow.gif	(from http://www.gkf.kr/common/css/style_sub.css)
12:08:01	195939/195939	---M--	200	added ('OK')	image/png	etag:%2226125fab6dd01:2d56%22	http://www.gkf.kr/images/main/bg_visual_3.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/main/bg_visual_3.png	(from http://www.gkf.kr/common/css/style_main.css)
12:08:01	54/54	---M--	200	added ('OK')	image/gif	etag:%22cc324d4b6ed01:2d56%22	http://www.gkf.kr/images/sub/s_arrow.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/s_arrow.gif	(from http://www.gkf.kr/common/css/style_sub.css)
12:08:02	309386/309386	---M--	200	added ('OK')	image/png	etag:%22dc53e0eca9b4d01:2d56%22	http://www.gkf.kr/images/sub/img_motion.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/img_motion.png	(from http://www.gkf.kr/sub/business/business_4.asp)
12:08:03	64453/64453	---M--	200	added ('OK')	image/png	etag:%2244fcebb0c016d11:2d56%22	http://www.gkf.kr/images/sub/ceo_bg.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/ceo_bg.png	(from http://www.gkf.kr/common/css/style_sub.css)
12:08:07	3171/3171	---M--	200	added ('OK')	image/png	etag:%223ae4dbf62ec6d11:2d56%22	http://www.gkf.kr/images/sub/organ_bg_2.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/organ_bg_2.png	(from http://www.gkf.kr/common/css/style_sub.css)
12:08:08	148/148	---M--	200	added ('OK')	image/gif	etag:%22b530c38d8c1ed01:2d56%22	http://www.gkf.kr/images/sub/history_ar_bg.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/history_ar_bg.gif	(from http://www.gkf.kr/common/css/style_sub.css)
12:08:08	43/43	---M--	200	added ('OK')	image/gif	etag:%228c58fa7191fd01:2d56%22	http://www.gkf.kr/images/sub/s_line.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/s_line.gif	(from http://www.gkf.kr/common/css/style_sub.css)
12:08:29	109918/109918	---M--	200	added ('OK')	image/png	etag:%22365bf291e2dd01:2d56%22	http://www.gkf.kr/images/sub/history_bg.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/history_bg.png	(from http://www.gkf.kr/common/css/style_sub.css)
12:08:35	606/606	---M--	200	added ('OK')	image/gif	etag:%22f816397b812d01:2d56%22	http://www.gkf.kr/images/member/find_bg.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/member/find_bg.gif	(from http://www.gkf.kr/common/css/style_board.css)
12:08:35	20728/20728	---M--	200	added ('OK')	image/png	etag:%228e535418d820d01:2d56%22	http://www.gkf.kr/images/sub/formation_bg.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/formation_bg.png	(from http://www.gkf.kr/common/css/style_sub.css)
12:08:36	920/920	---M--	200	added ('OK')	image/gif	etag:%228ede79aa8413d01:2d56%22	http://www.gkf.kr/images/board/file.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/board/file.gif	(from http://www.gkf.kr/common/css/style_board.css)
12:08:37	426/426	---M--	200	added ('OK')	image/png	etag:%22988613eb1a14d01:2d56%22	http://www.gkf.kr/images/member/map_tit_bg.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/member/map_tit_bg.png	(from http://www.gkf.kr/common/css/style_board.css)
12:08:37	43/43	---M--	200	added ('OK')	image/gif	etag:%22ea39e6ea1a14d01:2d56%22	http://www.gkf.kr/images/member/point.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/member/point.gif	(from http://www.gkf.kr/common/css/style_board.css)
12:08:37	98/98	---M--	200	added ('OK')	image/gif	etag:%229675eb6ccd15d01:2d56%22	http://www.gkf.kr/images/board/cal_bar.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/board/cal_bar.gif	(from http://www.gkf.kr/common/css/style_board.css)
12:08:37	809/809	---M--	200	added ('OK')	image/gif	etag:%229cedc26ccd15d01:2d56%22	http://www.gkf.kr/images/board/point.gif	C:/My%20Web%20Sites/giga/www.gkf.kr/images/board/point.gif	(from http://www.gkf.kr/common/css/style_board.css)
12:08:38	16875/16875	---M--	200	added ('OK')	image/png	etag:%22c81dc75a8b13d01:2d56%22	http://www.gkf.kr/images/member/join_ok.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/member/join_ok.png	(from http://www.gkf.kr/common/css/style_board.css)
12:08:38	35689/35689	---M--	200	added ('OK')	image/png	etag:%22b6ca54e81f23d01:2d56%22	http://www.gkf.kr/images/sub/formation_img_10.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/formation_img_10.png	(from http://www.gkf.kr/common/css/style_sub.css)
12:08:47	10550/10550	---M--	200	added ('OK')	image/png	etag:%2224a4e2acc3dd01:2d56%22	http://www.gkf.kr/images/sub/organ_bg.png	C:/My%20Web%20Sites/giga/www.gkf.kr/images/sub/organ_bg.png	(from http://www.gkf.kr/common/css/style_sub.css)
